kappa,gamma,method,mode,eigenvalue,spectral_radius,stationary_squared_tracking_error,lyapunov_max_abs_residual
1000.0,0.001,hb,44,494.1713361323833,0.9486832980505138,2.0347903227296247e-05,1.0587911840678754e-21
1000.0,0.001,hb,45,568.9866029018293,0.9486832980505138,2.0834083295261307e-05,3.5998900258307764e-21
1000.0,0.001,hb,46,655.1285568595509,0.9486832980505138,2.1431614029329236e-05,1.9058241313221758e-21
1000.0,0.001,hb,47,754.3120063354615,0.9486832980505138,2.2169627838455562e-05,2.541098841762901e-21
1000.0,0.001,hb,48,868.511373751352,0.9486832980505139,2.3088586253824285e-05,3.3881317890172014e-21
1000.0,0.001,hb,49,1000.0,0.9486832980505137,2.4246205357142866e-05,1.6940658945086007e-21
1000.0,0.001,nag,0,1.0,0.9889987484159392,0.0001179943483198252,7.199780051661553e-21
1000.0,0.001,nag,1,1.1513953993264474,0.9871054363807497,0.0001048198215848887,1.6940658945086007e-21
1000.0,0.001,nag,2,1.3257113655901092,0.9848212805078587,9.337042104881304e-05,4.235164736271502e-22
1000.0,0.001,nag,3,1.5264179671752334,0.9820266787797536,8.341826476412961e-05,1.8211208365967457e-20
1000.0,0.001,nag,4,1.7575106248547918,0.9785336853505417,7.476528833644308e-05,1.1011428314305904e-20
1000.0,0.001,nag,5,2.023589647725157,0.9740072452441055,6.7239305915593e-05,3.3881317890172014e-21
1000.0,0.001,nag,6,2.329951810515372,0.9676936548385247,6.069058749808478e-05,4.235164736271502e-22
1000.0,0.001,nag,7,2.6826957952797255,0.9563202308214854,5.4988884736995135e-05,5.929230630780102e-21
1000.0,0.001,nag,8,3.088843596477481,0.9472169977165582,5.002084647015209e-05,1.2705494208814505e-21
1000.0,0.001,nag,9,3.5564803062231287,0.9469948087103748,4.568777303971338e-05,4.235164736271502e-22
1000.0,0.001,nag,10,4.094915062380426,0.9467389167261783,4.190366534434494e-05,3.8116482626443515e-21
1000.0,0.001,nag,11,4.714866363457394,0.9464441981822744,3.85935305759438e-05,2.964615315390051e-21
1000.0,0.001,nag,12,5.428675439323859,0.9461047468988878,3.56919118640235e-05,5.505714157152952e-21
1000.0,0.001,nag,13,6.250551925273973,0.9457137533457219,3.3141613681968625e-05,2.541098841762901e-21
1000.0,0.001,nag,14,7.196856730011519,0.9452633648581701,3.089259894196162e-05,3.8116482626443515e-21
1000.0,0.001,nag,15,8.286427728546844,0.9447445236910917,2.89010372826237e-05,2.541098841762901e-21
1000.0,0.001,nag,16,9.54095476349994,0.9441467792207152,2.712848717884129e-05,1.2705494208814505e-21
1000.0,0.001,nag,17,10.985411419875584,0.9434580699332175,2.5541197199403655e-05,1.2705494208814505e-21
1000.0,0.001,nag,18,12.648552168552959,0.9426644700254181,2.4109514005279494e-05,1.5881867761018131e-22
