scenario,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
kappa_sweep,nag,5,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008490656020581404,0.0072653889344324535,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,6,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.00862920542510432,0.008036472545758294,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,7,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008727094202165265,0.006574407245467926,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,8,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.00863669539585069,0.007925220462106173,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,9,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008598870555383305,0.008994652086974505,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,10,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008627262233855116,0.00790215430627682,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,11,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008665539909052234,0.008197968734140951,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,12,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008649445424292964,0.007835657508798203,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,13,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008526339234509501,0.0071062723491454515,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,14,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008417872644231236,0.008156849891793596,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,15,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008597440702923367,0.007337696487001069,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,16,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008632004250660671,0.005449505313321849,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,17,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.00854149815210153,0.0077488567987921775,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,18,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.00848408293067501,0.00769156032194208,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,19,50,5000,256,30.0,0.01,0.9,0.03333333333333333,0.5,0.008600249036864323,0.00793784853845805,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,0,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016720981422834343,0.001815139628312293,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,1,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016179598549775232,0.0018083313901197575,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,2,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016575229471415612,0.001873979824752261,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,3,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016652055776169216,0.0013008595928450033,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,4,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.001595370844982998,0.0008936733266264069,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,5,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0015193117832245468,0.0012251513284835822,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,6,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.001632570628668168,0.0013164882120981032,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,7,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016607300934638552,0.0019808017076510987,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,8,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016882793199255296,0.0013416125760656386,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,9,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0015656034961810251,0.00146414718817876,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,10,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.001471585228866405,0.0021752506381997974,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,11,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016775040680011841,0.0015759847332526501,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,12,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.001604068124882866,0.0019449587535065867,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,13,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016331840404565745,0.0021339325917854673,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,14,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016743174804239981,0.0012689702305676812,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,15,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0015628620523433399,0.0017036382212597132,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,16,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016159608787555033,0.002376948322496498,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,17,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0016324430076027265,0.0014108827907689787,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,18,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0015899024156749806,0.0012782604128583962,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,sgd,19,50,5000,256,100.0,0.01,0.0,0.01,0.5,0.0017027058597963013,0.0013170140811370067,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,0,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007807460206751569,0.0070127401971933016,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,1,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007836980940264509,0.011702777774131893,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,2,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007970378364617513,0.008732050157953577,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,3,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007698157460444766,0.006337003936351406,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,4,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.00758863551650185,0.005484735278278422,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,5,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.00793663311849199,0.006824989159215029,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,6,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007945402933006942,0.007985244636075814,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,7,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007668880654285175,0.00761783219341642,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,8,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.0075081154047374485,0.004999343152290252,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,9,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007429107320999242,0.008808075057217674,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,10,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.00796017005668204,0.0068657388070394116,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,11,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007872134533222008,0.010288113163395132,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,12,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007830983611259792,0.006730016943664532,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,13,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007660300382336571,0.00935509974714383,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,14,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007802533418646415,0.005554666874970784,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,15,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007663850611244476,0.006288404229945267,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,16,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.00782039925856849,0.006715835192608433,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,17,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.00777273549987987,0.011352155016706068,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,18,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007875569903064802,0.006177669914094265,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,19,50,5000,256,100.0,0.01,0.9,0.01,0.5,0.007926866832364786,0.006646077775155421,Gaussian with exact least-squares mini-batch mean/covariance
