route,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
raw_minibatch,hb,9,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018624608536721055,0.0019873128947299067,literal Gaussian-design raw mini-batch
raw_minibatch,hb,10,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018004250955647998,0.0021076837126715402,literal Gaussian-design raw mini-batch
raw_minibatch,hb,11,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0019214646877189605,0.0015244835184502572,literal Gaussian-design raw mini-batch
raw_minibatch,hb,12,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018754355955532666,0.0017623506656777794,literal Gaussian-design raw mini-batch
raw_minibatch,hb,13,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018328457538898263,0.001420207978050244,literal Gaussian-design raw mini-batch
raw_minibatch,hb,14,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018942089459776693,0.0016438748483953909,literal Gaussian-design raw mini-batch
raw_minibatch,hb,15,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018220071235907462,0.002230958924597002,literal Gaussian-design raw mini-batch
raw_minibatch,hb,16,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018411306012571626,0.0025168821523967946,literal Gaussian-design raw mini-batch
raw_minibatch,hb,17,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001899287943702831,0.0022647671133634367,literal Gaussian-design raw mini-batch
raw_minibatch,hb,18,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0019524414821015445,0.0016109010579152695,literal Gaussian-design raw mini-batch
raw_minibatch,hb,19,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0018283855799243074,0.0014145764279101896,literal Gaussian-design raw mini-batch
raw_minibatch,nag,0,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014873187928144038,0.0011362491409348107,literal Gaussian-design raw mini-batch
raw_minibatch,nag,1,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014667081473000649,0.0011850665908954183,literal Gaussian-design raw mini-batch
raw_minibatch,nag,2,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001383668667936517,0.0011074912148845684,literal Gaussian-design raw mini-batch
raw_minibatch,nag,3,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001394099938763597,0.0006652093619677678,literal Gaussian-design raw mini-batch
raw_minibatch,nag,4,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001471097734137396,0.0018038474160418678,literal Gaussian-design raw mini-batch
raw_minibatch,nag,5,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013683692465164094,0.001627897372339195,literal Gaussian-design raw mini-batch
raw_minibatch,nag,6,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014294718414788084,0.001222818513813933,literal Gaussian-design raw mini-batch
raw_minibatch,nag,7,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0015086585802865822,0.0014542448323382618,literal Gaussian-design raw mini-batch
raw_minibatch,nag,8,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001365705396141377,0.0012409709693050061,literal Gaussian-design raw mini-batch
raw_minibatch,nag,9,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013579049080731085,0.0012531399843083507,literal Gaussian-design raw mini-batch
raw_minibatch,nag,10,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013319667154642774,0.0011536324739703215,literal Gaussian-design raw mini-batch
raw_minibatch,nag,11,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014262187859110543,0.0006870928819619886,literal Gaussian-design raw mini-batch
raw_minibatch,nag,12,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014251739441942417,0.00142970606729402,literal Gaussian-design raw mini-batch
raw_minibatch,nag,13,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.001370906133708008,0.0010129301664704394,literal Gaussian-design raw mini-batch
raw_minibatch,nag,14,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013998564748370452,0.0009181530053978894,literal Gaussian-design raw mini-batch
raw_minibatch,nag,15,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013276931769719764,0.0017714232396543418,literal Gaussian-design raw mini-batch
raw_minibatch,nag,16,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013666748787314637,0.0019956219680915635,literal Gaussian-design raw mini-batch
raw_minibatch,nag,17,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014151342256258832,0.0016160501714254686,literal Gaussian-design raw mini-batch
raw_minibatch,nag,18,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0014230666650390928,0.0012569384339665617,literal Gaussian-design raw mini-batch
raw_minibatch,nag,19,50,5000,256,1000.0,0.01,0.9,0.001,0.5,0.0013751484241518925,0.0011362741267067608,literal Gaussian-design raw mini-batch
