beta,method,seed,dimension,horizon,mu,smoothness,condition_number,drift_step_norm,noise_std,gamma,stability_cap,gamma_within_cap,tail_squared_tracking_error,final_squared_tracking_error
0.95,hb,19,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.17362505804989592,0.2089776002259659
0.95,nag,0,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13869719300968944,0.13417334255122096
0.95,nag,1,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15629071786453405,0.18003219057704942
0.95,nag,2,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.12415938548100829,0.15237312347652174
0.95,nag,3,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13930769840967233,0.1347497795119925
0.95,nag,4,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13066804274337906,0.17810632601657933
0.95,nag,5,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13736150599001706,0.15774369513301664
0.95,nag,6,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15453420782249555,0.16679803384754802
0.95,nag,7,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14108707344978458,0.16434554955430933
0.95,nag,8,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15702667841426607,0.1588756788831485
0.95,nag,9,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13379756633819997,0.13380152414864632
0.95,nag,10,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14543087824366618,0.17612373393824798
0.95,nag,11,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.16165479011176245,0.17208183105522873
0.95,nag,12,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.14231291393446385,0.15880376387187106
0.95,nag,13,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.1430384228836582,0.1406363943330691
0.95,nag,14,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.13954276116090067,0.1729022132428339
0.95,nag,15,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15288311792846537,0.20181175457575282
0.95,nag,16,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.1286099629013231,0.16361470177094867
0.95,nag,17,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.1477104282772375,0.12929481316990224
0.95,nag,18,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.15497915246373786,0.16386136679525584
0.95,nag,19,100,5000,1.0,10.0,10.0,0.01,0.02,5.00000000000001e-06,6.250000000000011e-06,True,0.12634852526382914,0.12635490534986357
0.98,sgd,0,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002419610308763388,0.0023131050855063374
0.98,sgd,1,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024581372243549877,0.0019425004267183445
0.98,sgd,2,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002380704002019163,0.0019639220451699497
0.98,sgd,3,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023239541680661596,0.0022171125845753563
0.98,sgd,4,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002443209709192126,0.0026094627071338687
0.98,sgd,5,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024774354893233688,0.0028883308567877208
0.98,sgd,6,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002334022958981128,0.0022495570167900747
